NM_001001398.2 fgf6a
NM_001003768.1 cbx6a
NM_001003769.2 cep57l1
NM_001003771.1 zmat5
NM_001003773.1 cdkl1
NM_001003774.2 dnase1l4.1
NM_001003775.2 nrros
NM_001003776.1 ncaldb
NM_001003777.2 hspbap1
NM_001003778.2 mrps27
NM_001003779.1 chst10
NM_001003780.1 ypel1
NM_001003781.1 tango2
NM_001003782.2 septin5b
NM_001003783.2 akr1a1a
NM_001003784.2 alg6
NM_001003822.1 g2e3
NM_001003823.1 coch
NM_001003826.1 ap4s1
NM_001003830.2 noc2l
NM_001003831.1 nop14
NM_001003832.1 psmc6
NM_001003833.3 sulf2b
NM_001003835.2 taf2
NM_001003836.1 cpsf3
NM_001003837.2 src
NM_001003838.1 cby1
NM_001003840.1 ebna1bp2
NM_001003842.2 spry2
NM_001003843.1 atp5po
NM_001003844.2 rpl6
NM_001003846.2 sulf1
NM_001003848.2 eno2
NM_001003850.1 rbm42
NM_001003851.1 negr1
NM_001003852.2 ntm
NM_001003853.1 st6gal1
NM_001003854.1 st3gal4
NM_001003856.1 rbm12
NM_001003857.1 itga2b
NM_001003858.1 mpl
NM_001003860.1 bud31
NM_001003861.1 rpl9
NM_001003862.1 rfc5
NM_001003863.1 ndc80
NM_001003864.1 ddx51
NM_001003865.1 rcl1
NM_001003866.1 gtf3aa
NM_001003867.2 mybl2b
NM_001003868.2 nop10
NM_001003869.1 fbxo5
NM_001003870.2 ppp1r12a
NM_001003871.2 wdr55
NM_001003872.1 esco2
NM_001003873.2 rbbp6
NM_001003874.1 chmp6b
NM_001003875.2 snrnp70
NM_001003876.1 ddx56
NM_001003877.2 slc35d1a
NM_001003878.2 cenpl
NM_001003879.2 polb
NM_001003880.1 uspl1
NM_001003881.3 snrpf
NM_001003882.2 sars1
NM_001003883.1 ect2
NM_001003884.1 slc25a24l
NM_001003885.2 gle1
NM_001003886.1 her11
NM_001003887.1 ticrr
NM_001003888.1 polr1d
NM_001003889.1 psmb1
NM_001003890.3 plk1
NM_001003944.1 actr3
NM_001003980.2 lhx8a
NM_001003981.2 ptn
NM_001003982.1 myf6
NM_001003983.1 cdh5
NM_001003984.2 stat5b
NM_001003985.1 syt9b
NM_001003986.1 abrab
NM_001003987.1 epb41l3a
NM_001003988.2 xrcc1
NM_001003989.2 s100s
NM_001003991.1 yipf1
NM_001003992.1 gspt1
NM_001003993.1 ak1
NM_001003994.1 morc2
NM_001003995.1 phax
NM_001003996.1 crbn
NM_001003997.1 flad1
NM_001003998.2 bet1l
NM_001003999.2 tmem144a
NM_001004000.2 gga1
NM_001004001.2 zgc:101016
NM_001004002.1 rab4b
NM_001004003.2 tnpo2a
NM_001004004.2 sdhdb
NM_001004005.2 cdc26
NM_001004006.1 tmem230a
NM_001004007.2 matn3a
NM_001004008.1 fbp2
NM_001004009.2 asb12b
NM_001004010.2 calcrla
NM_001004011.3 dtd2
NM_001004012.1 st3gal2
NM_001004013.2 spata4
NM_001004015.2 lhx6a
NM_001004016.2 st3gal7
NM_001004017.1 st3gal8
NM_001004018.1 gipc1
NM_001004108.2 bsdc1
NM_001004109.2 quo
NM_001004110.1 myo6b
NM_001004111.2 myo6a
NM_001004112.1 fhl5
NM_001004113.1 agbl5
NM_001004114.1 phf20b
NM_001004115.1 fuca2
NM_001004116.1 elf2a
NM_001004117.3 pgls
NM_001004118.1 gdpd1
NM_001004119.1 emp2
NM_001004120.3 nfil3
NM_001004122.2 mstna
NM_001004123.1 grid2
NM_001004287.2 grb10a
NM_001004288.2 itga5
NM_001004289.1 sf3a3
NM_001004290.2 abhd11
NM_001004294.4 selenon
NM_001004295.2 sephs3
NM_001004296.1 msna
NM_001004494.1 prc1a
NM_001004495.1 plxna4
NM_001004496.2 ofd1
NM_001004497.2 slc25a43
NM_001004499.3 nkrf
NM_001004502.2 lpar1
NM_001004503.2 musk
NM_001004506.1 fkbp7
NM_001004510.1 stat4
NM_001004512.2 si:busm1-57f23.1
NM_001004513.1 tubgcp3
NM_001004517.1 mindy2
NM_001004520.1 prpf39
NM_001004521.3 mhc2daa
NM_001004527.4 ppp1cb
NM_001004528.1 rab3gap2
NM_001004529.2 echs1
NM_001004530.1 fuom
NM_001004531.1 znf511
NM_001004532.2 synprb
NM_001004533.1 slc6a22.1
NM_001004536.1 rnf113a
NM_001004537.1 large1
NM_001004538.1 large2
NM_001004539.1 serpinf1
NM_001004540.1 aldh8a1
NM_001004541.1 coq5
NM_001004542.1 pon1
NM_001004543.1 lyn
NM_001004544.1 ggact.2
NM_001004545.1 mpdu1a
NM_001004546.1 slc51a
NM_001004547.1 fam43b
NM_001004548.2 tagapb
NM_001004549.2 nt5c2l1
NM_001004550.1 rassf1
NM_001004551.1 ccdc47
NM_001004552.1 pdxdc1
NM_001004553.1 ppp3r1b
NM_001004554.2 rimkla
NM_001004555.2 rtn4a
NM_001004556.2 zgc:92161
NM_001004557.1 taf6
NM_001004558.1 eya2
NM_001004559.2 cldn2
NM_001004560.1 sav1
NM_001004561.1 arrdc1a
NM_001004562.1 fth1b
NM_001004563.1 gdap2
NM_001004565.2 adprs
NM_001004566.2 manea
NM_001004568.2 cdc42ep3
NM_001004569.2 abhd3
NM_001004570.1 ccdc85al
NM_001004571.1 capn3a
NM_001004572.2 hat1
NM_001004573.2 macrod1
NM_001004574.1 gjc2
NM_001004575.2 pfkma
NM_001004576.1 lingo1b
NM_001004577.1 coasy
NM_001004578.1 ehd1b
NM_001004579.1 pip5k1bb
NM_001004580.1 glmp
NM_001004581.1 clpxa
NM_001004582.1 ctrl
NM_001004583.1 slc35b1
NM_001004584.1 cavin2b
NM_001004585.2 bmpr1ab
NM_001004587.2 cyp8b1.3
NM_001004588.1 ncoa5
NM_001004589.1 eif4e3
NM_001004590.1 cyb561d1
NM_001004591.1 leng1
NM_001004592.1 dlgap5
NM_001004593.1 zgc:92140
NM_001004594.2 cratb
NM_001004595.1 utp3
NM_001004596.1 gtf2h1
NM_001004597.1 slc49a4
NM_001004598.1 etfdh
NM_001004599.2 acsl5
NM_001004600.1 rnf103
NM_001004601.2 nucks1a
NM_001004602.3 bin1b
NM_001004603.1 ass1
NM_001004604.1 vwa5a
NM_001004605.1 arrdc3b
NM_001004606.1 slc25a24
NM_001004607.1 pxmp2
NM_001004608.1 tmod2
NM_001004610.2 tmem14cb
NM_001004611.1 dscc1
NM_001004612.1 mrpl40
NM_001004613.1 glod4
NM_001004614.2 smyd5
NM_001004615.1 slc66a3
NM_001004616.3 lmod2a
NM_001004618.2 nmrk2
NM_001004619.1 styxl1
NM_001004620.1 gbgt1l3
NM_001004621.2 spic
NM_001004622.1 zgc:101783
NM_001004623.2 dynlt5
NM_001004624.1 ropn1l
NM_001004625.1 zgc:101772
NM_001004626.1 ppifa
NM_001004627.1 spout1
NM_001004628.1 pnp5b
NM_001004629.2 ms4a17a.5
NM_001004630.1 sc5d
NM_001004632.2 anxa3a
NM_001004633.1 zgc:101715
NM_001004634.2 gpx1b
NM_001004635.1 ap1s3b
NM_001004636.1 tmem237b
NM_001004638.1 nit1
NM_001004639.1 polr3gla
NM_001004640.3 atad1a
NM_001004641.1 dhrs13a.2
NM_001004642.2 ildr1b
NM_001004643.2 entpd2a.1
NM_001004644.1 kifap3a
NM_001004645.2 lcmt1
NM_001004646.1 osbpl3a
NM_001004647.2 tgm2a
NM_001004648.1 nudt4b
NM_001004649.1 cplane2
NM_001004650.1 vac14
NM_001004651.1 ndufs6
NM_001004652.3 cox17
NM_001004653.1 mrpl53
NM_001004654.2 rrh
NM_001004655.1 rs1b
NM_001004656.2 reep6
NM_001004657.1 aspdh
NM_001004659.1 steep1
NM_001004660.3 snrpg
NM_001004661.1 aqp8a.1
NM_001004662.3 mpc2a
NM_001004663.2 cnfn
NM_001004664.3 kif2a
NM_001004665.1 taf13
NM_001004666.1 uck1
NM_001004667.3 f11r.1
NM_001004668.1 mylpfb
NM_001004669.1 zgc:103625
NM_001004670.1 lypd6
NM_001004671.1 uxt
NM_001004672.2 lin7c
NM_001004673.1 eloca
NM_001004674.1 hmgb2b
NM_001004675.2 zgc:101851
NM_001004676.2 rassf2a
NM_001004677.2 fkbp2
NM_001004678.1 adam9a
NM_001004679.1 apip
NM_001004680.1 cox6a2
NM_001004681.3 selenok
NM_001004682.1 fabp4a
NM_001004683.1 mrpl17
NM_001005206.1 wdr18
NM_001005292.2 hsd17b8
NM_001005293.1 ric8b
NM_001005300.3 adat3
NM_001005301.1 osgepl1
NM_001005304.1 scel
NM_001005305.1 slain1a
NM_001005306.3 slc39a13
NM_001005307.1 si:ch73-314g15.3
NM_001005312.1 parapinopsinb
NM_001005315.1 si:busm1-163l24.4
NM_001005316.2 klhl6
NM_001005320.1 erbb3a
NM_001005390.1 alkbh6
NM_001005391.2 cltca
NM_001005392.1 rcan3
NM_001005393.1 boc
NM_001005394.1 gypc
NM_001005395.1 ubtf
NM_001005396.1 atxn7l3a
NM_001005397.1 ebpl
NM_001005398.1 slc17a6b
NM_001005399.1 tcf25
NM_001005400.2 cthl
NM_001005401.3 srp68
NM_001005402.1 cdhr1a
NM_001005573.1 tmub2
NM_001005574.1 sccpdhb
NM_001005575.1 bcl9l
NM_001005576.2 nitr9
NM_001005577.1 nitr8
NM_001005578.2 nitr7b
NM_001005579.2 nitr6b
NM_001005580.2 opcml
NM_001005583.2 ptp4a2a
NM_001005584.1 chchd6a
NM_001005585.1 gca
NM_001005586.2 plp1b
NM_001005587.1 crata
NM_001005588.2 ric8a
NM_001005589.1 rps4x
NM_001005590.1 ppp2r1bb
NM_001005591.1 zgc:100918
NM_001005592.1 cox6a1
NM_001005593.2 hint1
NM_001005594.1 fkbp1ab
NM_001005595.1 impact
NM_001005596.1 rbfox1
NM_001005597.1 zgc:101858
NM_001005598.2 ttr
NM_001005599.2 saa
NM_001005600.2 dhdh.2
NM_001005601.2 tmem18
NM_001005602.3 phyhiplb
NM_001005603.1 gcm2
NM_001005604.1 bcl9
NM_001005769.1 hpf1
NM_001005771.1 hoxc8a
NM_001005772.2 atp6v1c1b
NM_001005773.3 fbxl3a
NM_001005774.2 jagn1a
NM_001005775.1 pip5k1ba
NM_001005776.1 scgn
NM_001005777.1 apoob
NM_001005779.2 dmrt3a
NM_001005919.2 epha4a
NM_001005921.1 galca
NM_001005923.2 stmn2a
NM_001005924.2 tlcd4b
NM_001005926.2 sdhaf3
NM_001005927.1 osbpl7
NM_001005928.1 anks6
NM_001005929.2 paxip1
NM_001005930.1 nln
NM_001005931.2 rras
NM_001005932.2 tars1
NM_001005933.2 acox1
NM_001005934.2 gpd1l
NM_001005935.1 arfip2a
NM_001005936.1 gpsm2l
NM_001005937.2 rtkn2
NM_001005938.1 park7
NM_001005939.2 mcfd2
NM_001005941.1 pttg1ipb
NM_001005942.1 glrx
NM_001005943.2 mhc2dhb
NM_001005944.2 slc38a4
NM_001005945.1 zgc:103692
NM_001005946.2 tmem120ab
NM_001005947.1 arl2
NM_001005948.1 prrg1
NM_001005949.1 mettl5
NM_001005950.1 glrx3
NM_001005951.2 dtwd1
NM_001005952.1 mettl1
NM_001005953.1 txnl4a
NM_001005954.1 fundc2
NM_001005955.1 myl6
NM_001005956.2 twist2
NM_001005957.1 mgst1.1
NM_001005958.2 lgals1l1
NM_001005959.2 polr3glb
NM_001005960.1 atp5pb
NM_001005961.2 s100a10a
NM_001005962.2 cabp1a
NM_001005963.2 cyp2k16
NM_001005964.1 ap3s1
NM_001005965.2 cryba1l2
NM_001005966.2 scocb
NM_001005967.1 h2ax1
NM_001005968.1 crip2l
NM_001005969.2 ank1a
NM_001005970.1 tspan13b
NM_001005971.1 wacb
NM_001005973.2 casp6b.1
NM_001005974.1 zgc:103601
NM_001005976.2 c1qc
NM_001005978.1 glipr2l
NM_001005979.1 fbln5
NM_001005980.2 sumf2
NM_001005981.1 kng1
NM_001005982.1 cln6a
NM_001005983.1 tmem144b
NM_001005984.1 ercc8
NM_001005985.2 rwdd
NM_001005986.1 sgf29
NM_001005988.1 sirt4
NM_001005989.3 elovl1a
NM_001005990.1 kansl2
NM_001005991.2 bace2
NM_001005992.2 tmbim1a
NM_001005993.1 abraxas1
NM_001005994.1 pex10
NM_001005995.2 zgc:101569
NM_001005996.2 zgc:101566
NM_001005998.3 tnni4a
NM_001005999.1 ctsll
NM_001006000.3 nutf2
NM_001006002.1 galk1
NM_001006003.1 zdhhc15a
NM_001006004.1 pop7
NM_001006005.1 dut
NM_001006006.2 fra10ac1
NM_001006007.1 nrn1b
NM_001006008.2 zgc:103759
NM_001006009.2 zgc:103755
NM_001006010.1 znrd2
NM_001006011.1 phlda1
NM_001006012.2 kctd15a
NM_001006013.3 polr2i
NM_001006014.2 xkr8.3
NM_001006015.2 pawr
NM_001006016.1 atl3
NM_001006017.1 ccnd3
NM_001006018.1 bcl7bb
NM_001006019.2 katnbl1
NM_001006020.2 ccdc149a
NM_001006021.1 amt
NM_001006022.1 zgc:103482
NM_001006023.2 tecrl2b
NM_001006024.1 gcdhb
NM_001006026.2 csrp3
NM_001006027.1 myl9a
NM_001006028.2 fhl2b
NM_001006029.1 trappc6b
NM_001006030.1 mrps16
NM_001006031.1 rdh14a
NM_001006032.2 tspo
NM_001006033.2 adprhl1
NM_001006034.2 nudt3b
NM_001006035.2 pcnp
NM_001006036.1 zgc:103438
NM_001006037.1 pcyt2
NM_001006038.2 atp6v0e1
NM_001006039.2 samsn1b
NM_001006040.1 hspb7
NM_001006041.1 cd151
NM_001006042.1 fip1l1b
NM_001006043.1 ctsz
NM_001006044.2 cldn5b
NM_001006045.1 cited2
NM_001006046.1 cutc
NM_001006047.2 tspan5a
NM_001006048.2 cmss1
NM_001006049.1 dram1
NM_001006050.2 zgc:101806
NM_001006051.1 chchd4b
NM_001006052.1 peds1
NM_001006053.1 anxa14
NM_001006054.1 lrrc23
NM_001006055.1 cdkn2aipnl
NM_001006056.2 zgc:101765
NM_001006057.1 ifi30a
NM_001006058.2 eef2kmt
NM_001006059.2 chga
NM_001006060.1 dusp14
NM_001006061.1 cfap263
NM_001006062.1 nipa1
NM_001006065.2 eipr1
NM_001006066.1 cradd
NM_001006067.1 syngr1a
NM_001006068.1 ech1
NM_001006069.1 nudt22
NM_001006070.1 dhrs3b
NM_001006071.1 tlcd1
NM_001006072.1 acot8
NM_001006073.1 angptl7
NM_001006074.1 tpk1
NM_001006075.1 fbxl3b
NM_001006076.2 tbc1d16
NM_001006077.1 exosc9
NM_001006078.1 f8a
NM_001006079.1 osr1
NM_001006080.2 cyp2aa8
NM_001006081.1 gins1
NM_001006082.2 eif1axa
NM_001006083.2 mogat2
NM_001006084.1 zgc:101664
NM_001006085.1 cdkn2aip
NM_001006086.2 trmt44
NM_001006087.1 ormdl3
NM_001006088.1 asah1a
NM_001006090.1 miga1
NM_001006091.1 spdya
NM_001006092.1 alg14
NM_001006093.2 scp2b
NM_001006094.1 rab34a
NM_001006095.1 thoc6
NM_001006096.1 arl6ip5a
NM_001006097.2 dera
NM_001006098.1 hsd17b10
NM_001006100.1 mnat1
NM_001006101.1 rad51c
NM_001006102.1 cyb561d2
NM_001006103.2 gla
NM_001006104.1 gss
NM_001006105.1 golph3a
NM_001006594.1 tap2a
NM_001006660.1 ltk
NM_001006662.2 st6galnac5b
NM_001006663.1 capza1b
NM_001007029.1 atp2a1
NM_001007030.2 synj1
NM_001007031.2 rflna
NM_001007032.1 ncor2
NM_001007037.1 cldn10a
NM_001007038.2 abcc4
NM_001007048.3 si:busm1-160c18.6
NM_001007051.3 vat1
NM_001007052.2 borcs5
NM_001007053.1 pgm3
NM_001007054.1 zgc:92590
NM_001007055.1 rap2c
NM_001007056.1 dck
NM_001007057.2 wdfy1
NM_001007058.2 crygm5
NM_001007059.1 c1d
NM_001007060.2 prrc1
NM_001007061.1 dolpp1
NM_001007062.2 mag
NM_001007063.2 magi1b
NM_001007064.2 dmrta2
NM_001007065.1 trpa1a
NM_001007066.2 trpa1b
NM_001007107.2 il12a
NM_001007108.1 il12ba
NM_001007109.2 spega
NM_001007120.2 homeza
NM_001007121.2 htr5ab
NM_001007124.1 met
NM_001007132.2 ifi27.1
NM_001007133.3 ifi27.2
NM_001007134.1 lbx2
NM_001007135.2 mtdha
NM_001007136.1 matr3l1.1
NM_001007151.3 shbg
NM_001007152.1 dpf2
NM_001007153.1 polr1f
NM_001007158.2 pcgf1
NM_001007159.2 azin1b
NM_001007160.2 pde6a
NM_001007161.1 rab1ab
NM_001007162.2 dnajc27
NM_001007163.2 rrm2b
NM_001007168.1 ing5b
NM_001007171.1 cep68
NM_001007174.1 lgalslb
NM_001007175.2 scrib
NM_001007177.3 si:ch211-14a17.11
NM_001007178.1 psmb11a
NM_001007179.3 zp3f.2
NM_001007180.5 zp3f.1
NM_001007182.4 gulp1a
NM_001007183.2 prmt5
NM_001007185.1 wnt3a
NM_001007186.2 akirin1
NM_001007187.1 fam53b
NM_001007197.1 ier5
NM_001007198.1 ccdc80
NM_001007199.3 gpr161b
NM_001007200.1 ptpn4a
NM_001007205.2 mhc2dga
NM_001007206.2 mhc2dgb
NM_001007207.1 gpkow
NM_001007209.1 si:busm1-105l16.2
NM_001007210.1 si:busm1-105l16.2
NM_001007211.2 nitr3b
NM_001007212.1 gjb9a
NM_001007213.1 gja5a
NM_001007215.1 gpr34a
NM_001007217.1 gpr34l
NM_001007218.1 npy7r
NM_001007219.1 nitr1a
NM_001007280.1 mtx1b
NM_001007281.2 gpx1a
NM_001007282.2 gpx4a
NM_001007283.2 dio1
NM_001007284.2 mxc
NM_001007285.1 p4ha2
NM_001007287.1 fhl1a
NM_001007288.2 gjb9b
NM_001007289.1 rpia
NM_001007290.2 rnf141
NM_001007291.1 oxct1a
NM_001007292.1 nitr1f
NM_001007293.2 mospd2
NM_001007294.1 ankrd9
NM_001007295.1 arhgap46a
NM_001007296.1 smarcb1a
NM_001007297.1 ace2
NM_001007298.1 opa1
NM_001007299.1 ppp1r21
NM_001007300.1 slc5a11
NM_001007302.2 anxa3b
NM_001007303.1 arfgap1
NM_001007304.1 zmynd12
NM_001007305.2 creg2
NM_001007306.1 cln3
NM_001007307.1 pcf11
NM_001007309.1 ctdnep1a
NM_001007310.1 cyp1d1
NM_001007311.2 hmgn3
NM_001007313.1 ppm1bb
NM_001007314.1 cxcr3.2
NM_001007315.2 fbxl4
NM_001007316.1 s1pr5a
NM_001007317.1 gemin8
NM_001007318.1 ube3a
NM_001007319.1 ddx11
NM_001007320.3 fam83fb
NM_001007321.1 ralab
NM_001007322.1 mybpc1
NM_001007323.2 pgam5
NM_001007324.1 gja12.1
NM_001007325.2 sgms1a
NM_001007327.1 cab39l
NM_001007328.1 klhl12
NM_001007329.2 slc7a3
NM_001007330.1 cbl
NM_001007331.1 colec11
NM_001007332.2 trmt10c
NM_001007333.1 rdm1
NM_001007334.1 yif1b
NM_001007335.1 neil3
NM_001007336.1 mettl8
NM_001007337.2 kmt5b
NM_001007338.1 glt8d1
NM_001007339.2 gnal
NM_001007340.1 ppm1db
NM_001007341.2 arhgef39
NM_001007342.2 spire2
NM_001007343.2 samm50l
NM_001007344.2 slc7a6os
NM_001007345.1 scamp3
NM_001007346.1 dennd2db
NM_001007347.1 trim35-29
NM_001007348.2 csad
NM_001007349.1 mvk
NM_001007350.2 slc25a44a
NM_001007351.2 btg3
NM_001007352.1 rnf24
NM_001007353.1 rp9
NM_001007354.2 eif4ebp3
NM_001007356.1 cyp2n13
NM_001007357.2 lrrc20
NM_001007358.2 adra1bb
NM_001007359.1 rab11a
NM_001007360.1 cetp
NM_001007361.1 sugt1
NM_001007362.1 slc6a1b
NM_001007363.2 dhrs13a.1
NM_001007364.1 cope
NM_001007365.1 tnni2a.1
NM_001007366.2 vsnl1a
NM_001007367.1 slu7
NM_001007368.2 nr2e3
NM_001007369.2 stam2
NM_001007370.1 gpn3
NM_001007372.1 gsto2
NM_001007373.1 tprkb
NM_001007374.1 plekha8
NM_001007375.2 si:dkey-42i9.4
NM_001007376.2 mrps34
NM_001007377.2 plod2
NM_001007378.1 pptc7a
NM_001007379.1 crhb
NM_001007380.1 churc1
NM_001007381.2 pcid2
NM_001007382.2 ttc1
NM_001007383.2 snrpa1
NM_001007384.2 ftsj1
NM_001007385.2 clic5a
NM_001007386.2 dph5
NM_001007387.2 ftr72
NM_001007388.1 ttc36
NM_001007389.2 zgc:103586
NM_001007390.1 haao
NM_001007391.2 atpsckmt
NM_001007392.1 pgrmc1
NM_001007394.1 chchd6b
NM_001007396.2 mboat1
NM_001007397.2 tekt1
NM_001007398.3 pacrg
NM_001007399.1 fgf13a
NM_001007400.2 cyp3c3
NM_001007401.2 b4galt4
NM_001007402.1 tbl3
NM_001007403.1 trip10a
NM_001007404.2 casp9
NM_001007405.2 rbm41
NM_001007406.1 xkrx
NM_001007407.2 svopl
NM_001007408.1 odad1
NM_001007409.1 cdc7
NM_001007410.2 ythdc1
NM_001007411.1 gorasp1a
NM_001007412.1 snf8
NM_001007413.1 cpped1
NM_001007414.1 pomk
NM_001007415.1 glmna
NM_001007416.1 rundc3b
NM_001007417.1 zgc:101559
NM_001007418.1 cfhl2
NM_001007419.2 acot19
NM_001007420.1 nansb
NM_001007421.1 bin2a
NM_001007422.1 mvda
NM_001007424.2 dhrs13a.3
NM_001007425.2 zgc:101716
NM_001007427.2 brox
NM_001007428.2 cadm4
NM_001007429.1 si:busm1-194e12.8
NM_001007430.2 zgc:101699
NM_001007431.1 katnal1
NM_001007432.2 galk2
NM_001007433.1 gpr137c
NM_001007434.1 nosip
NM_001007435.1 arhgap28
NM_001007436.1 dipk2aa
NM_001007437.1 zgc:101663
NM_001007438.1 haus5
NM_001007439.1 slc37a1
NM_001007440.2 ctdnep1b
NM_001007441.1 znf143a
NM_001007442.1 pmpca
NM_001007443.1 rhoua
NM_001007444.1 pitpnc1b
NM_001007445.1 phyhd1
NM_001007446.1 nsfl1c
NM_001007447.2 cpt2
NM_001007448.1 cdadc1
NM_001007449.2 stx17
NM_001007450.1 bora
NM_001007451.1 mfsd2aa
NM_001007452.2 gnb4b
NM_001007453.1 nap1l4b
NM_001007454.2 fut9b.1
NM_001007455.2 thg1l
NM_001007456.1 cdca8
NM_001007457.2 prdm12b
NM_001007458.2 vps53
NM_001007760.2 pdzk1ip1
NM_001007761.1 fgf7
NM_001007762.2 pcdh2ac
NM_001007763.1 asah2
NM_001007764.2 mrpl16
NM_001007765.1 ndufs1
NM_001007766.2 stip1
NM_001007767.1 net1
NM_001007768.1 farsb
NM_001007769.1 grb2a
NM_001007770.1 med28
NM_001007771.1 glyr1
NM_001007772.1 zgc:101810
NM_001007773.1 gna11b
NM_001007774.1 bcas2
NM_001007775.2 ptp4a1
NM_001007776.1 fubp3
NM_001007777.1 eif4eb
NM_001007778.1 gpsm1b
NM_001007779.1 amh
NM_001007780.1 sprn2
NM_001007781.2 rasd4
NM_001007782.2 nkx2.2b
NM_001007783.2 crygm2c
NM_001007784.1 crygn1
NM_001007785.1 crygm1
NM_001007786.1 crygm3
NM_001007788.1 mfng
NM_001007789.2 arnt
NM_001007790.2 hapln1a
NM_001007791.2 crygm4
NM_001008400.2 ext2
NM_001008402.1 extl3
NM_001008403.1 aicda
NM_001008483.2 pcdh2ab5
NM_001008484.1 pcdh2ab3
NM_001008573.2 lonp2
NM_001008574.2 usp2a
NM_001008575.1 slc30a9
NM_001008576.2 tfap2c
NM_001008577.2 fbxo44.1
NM_001008578.1 mtfr1
NM_001008579.1 cavin4b
NM_001008580.1 cdca4
NM_001008581.1 snai2
NM_001008582.4 c3a.6
NM_001008583.2 cd2ap
NM_001008584.2 slc7a2
NM_001008585.1 slc43a2b
NM_001008586.1 slc9a8
NM_001008587.1 efemp2a
NM_001008588.1 ift27
NM_001008589.1 anapc4
NM_001008590.1 slc35c1
NM_001008591.1 tspan5b
NM_001008592.2 aimp1b
NM_001008593.1 ndrg2
NM_001008594.2 tectb
NM_001008595.3 gcga
NM_001008596.1 lxn
NM_001008597.1 tm7sf2
NM_001008598.1 sat2a.2
NM_001008600.1 fam113
NM_001008603.2 pus1
NM_001008604.2 fut9b.3
NM_001008605.1 zgc:103508
NM_001008606.1 rlig1
NM_001008607.1 hsdl1
NM_001008608.1 dhodh
NM_001008609.1 armc1
NM_001008611.2 ube2kb
NM_001008612.1 lmbrd1
NM_001008613.1 tnni1b
NM_001008615.2 hspb1
NM_001008616.1 erg
NM_001008617.1 ift56
NM_001008618.1 oclnb
NM_001008619.1 dhtkd1
NM_001008620.1 gfus.1
NM_001008622.2 iqcb1
NM_001008623.1 tmprss2
NM_001008624.1 arhgef7b
NM_001008625.1 ift80
NM_001008626.4 mogat3b
NM_001008627.1 stk35l
NM_001008628.1 pink1
NM_001008629.1 pih1d2
NM_001008630.2 nxnl2
NM_001008632.2 kcnip1b
NM_001008633.2 bfsp2
NM_001008634.1 adoa
NM_001008635.1 csnk1g1
NM_001008636.1 spice1
NM_001008639.2 zgc:101540
NM_001008640.1 mgme1
NM_001008641.2 rab25a
NM_001008642.1 ephx2
NM_001008643.1 nabp1a
NM_001008644.2 bmp2k
NM_001008645.1 dhcr24
NM_001008646.1 cdk11b
NM_001008647.1 zgc:101583
NM_001008648.1 foxj1b
NM_001008649.1 nsun4
NM_001008650.3 zdhhc13
NM_001008651.1 ptgr1.1
NM_001008652.1 ch25h
NM_001008653.1 lhfpl6
NM_001008654.1 mfsd13a
NM_001008655.1 cdk20
NM_001008731.1 gprc6a
NM_001008732.1 srsf6b
NM_001008733.1 arl6
NM_001008734.2 commd3
NM_001008780.1 fli1rs
NM_001009556.1 ncstn
NM_001009557.1 slc6a5
NM_001009558.2 il15l
NM_001009559.1 lrrc10
NM_001009560.1 tln1
NM_001009561.1 fgf5
NM_001009563.1 fgf6b
NM_001009564.2 fgf23
NM_001009585.2 pcdh2aa1
NM_001009586.2 pcdh2aa15
NM_001009587.2 pcdh2aa3
NM_001009588.2 pcdh2ab1
NM_001009589.2 pcdh2ab10
NM_001009590.2 pcdh2ab11
NM_001009591.2 pcdh2ab12
NM_001009592.2 pcdh2ab2
NM_001009593.1 pcdh2ab6
NM_001009594.1 pcdh2ab7
NM_001009595.2 pcdh2ab8
NM_001009596.2 pcdh2ab9
NM_001009885.2 mnx1
NM_001009886.2 mnx2a
NM_001009887.2 mnx2b
NM_001009888.2 sox21b
NM_001009889.2 nop58
NM_001009890.2 cyp2v1
NM_001009891.2 lancl1
NM_001009892.2 serpinb1l1
NM_001009895.1 pdlim5b
NM_001009897.2 twf2
NM_001009898.1 cdk2ap2
NM_001009901.2 tnni2a.4
NM_001009902.2 ppih
NM_001009903.2 b3gnt3.1
NM_001009904.1 six1a
NM_001009912.2 rdh12l
NM_001009914.2 atg5
NM_001009916.1 tfr2
NM_001009917.1 tfr1a
NM_001009918.2 tfr1b
NM_001009982.1 slc17a6a
NM_001009983.2 metrn
NM_001009985.2 rassf4a
NM_001009986.1 ccdc191
NM_001009987.2 zgc:86609
NM_001009988.1 foxo3a
NM_001009989.3 prkar1aa
NM_001009990.1 cdc40
NM_001011660.1 guca1g
NM_001011661.1 guca1d
NM_001012242.1 bnip3la
NM_001012243.3 gna13a
NM_001012244.2 zpcx
NM_001012245.1 bnip3
NM_001012246.2 fgf19
NM_001012247.2 mycbp2
NM_001012248.2 arf3b
NM_001012249.2 fkbp11
NM_001012250.2 rhov
NM_001012251.1 gsx1
NM_001012252.1 xkr7a
NM_001012253.3 xkr7b
NM_001012254.1 xk
NM_001012257.2 xkr6b
NM_001012258.2 xkr4
NM_001012259.1 xkr9
NM_001012260.1 xkr5a
NM_001012261.2 xgb
NM_001012262.1 crygs2
NM_001012263.2 fgfrl1b
NM_001012304.1 rbm39a
NM_001012312.2 gsna
NM_001012313.2 snx9a
NM_001012315.2 rida
